"ID";"RegioS";"Code_1";"Naam_2";"SorteringNaam_3"
"256";"GM1509    ";"GM1509    ";"Oude IJsselstreek                                 ";"Oude IJsselstreek                                 "
"257";"GM0437    ";"GM0437    ";"Ouder-Amstel                                      ";"Ouder+Amstel                                      "
"258";"GM0589    ";"GM0589    ";"Oudewater                                         ";"Oudewater                                         "
"259";"GM1734    ";"GM1734    ";"Overbetuwe                                        ";"Overbetuwe                                        "
"260";"GM0590    ";"GM0590    ";"Papendrecht                                       ";"Papendrecht                                       "
"261";"GM1894    ";"GM1894    ";"Peel en Maas                                      ";"Peel en Maas                                      "
"262";"GM0765    ";"GM0765    ";"Pekela                                            ";"Pekela                                            "
"263";"GM1926    ";"GM1926    ";"Pijnacker-Nootdorp                                ";"Pijnacker+Nootdorp                                "
"264";"GM0439    ";"GM0439    ";"Purmerend                                         ";"Purmerend                                         "
"265";"GM0273    ";"GM0273    ";"Putten                                            ";"Putten                                            "
"266";"GM0177    ";"GM0177    ";"Raalte                                            ";"Raalte                                            "
"267";"GM0703    ";"GM0703    ";"Reimerswaal                                       ";"Reimerswaal                                       "
"268";"GM0274    ";"GM0274    ";"Renkum                                            ";"Renkum                                            "
"269";"GM0339    ";"GM0339    ";"Renswoude                                         ";"Renswoude                                         "
"270";"GM1667    ";"GM1667    ";"Reusel-De Mierden                                 ";"Reusel+De Mierden                                 "
"271";"GM0275    ";"GM0275    ";"Rheden                                            ";"Rheden                                            "
"272";"GM0340    ";"GM0340    ";"Rhenen                                            ";"Rhenen                                            "
"273";"GM0597    ";"GM0597    ";"Ridderkerk                                        ";"Ridderkerk                                        "
"274";"GM0196    ";"GM0196    ";"Rijnwaarden                                       ";"Rijnwaarden                                       "
"275";"GM1742    ";"GM1742    ";"Rijssen-Holten                                    ";"Rijssen+Holten                                    "
"276";"GM0603    ";"GM0603    ";"Rijswijk                                          ";"Rijswijk                                          "
"277";"GM1669    ";"GM1669    ";"Roerdalen                                         ";"Roerdalen                                         "
