GESLACHT;LEEFTIJDSKLASSE;GEMEENTENAAM;AANTAL_BSN;AANTAL_VERZEKERDEJAREN;KOSTEN_MEDISCH_SPECIALISTISCHE_ZORG;KOSTEN_FARMACIE;KOSTEN_SPECIALISTISCHE_GGZ;KOSTEN_HUISARTS_INSCHRIJFTARIEF;KOSTEN_HUISARTS_CONSULT;KOSTEN_HUISARTS_MDZ;KOSTEN_HUISARTS_OVERIG;KOSTEN_HULPMIDDELEN;KOSTEN_MONDZORG;KOSTEN_PARAMEDISCHE_ZORG_FYSIOTHERAPIE;KOSTEN_PARAMEDISCHE_ZORG_OVERIG;KOSTEN_ZIEKENVERVOER_ZITTEND;KOSTEN_ZIEKENVERVOER_LIGGEND;KOSTEN_KRAAMZORG;KOSTEN_VERLOSKUNDIGE_ZORG;KOSTEN_GENERALISTISCHE_BASIS_GGZ;KOSTEN_LANGDURIGE_GGZ;KOSTEN_GRENSOVERSCHRIJDENDE_ZORG;KOSTEN_EERSTELIJNS_ONDERSTEUNING;KOSTEN_GERIATRISCHE_REVALIDATIEZORG;KOSTEN_VERPLEGING_EN_VERZORGING;KOSTEN_OVERIG
M;90+;GIESSENLANDEN;34;30.28;77350.26;36842.20;1542.40;2682.16;6291.84;2453.18;6992.07;21199.13;0.00;5996.22;96.13;0.00;4106.44;0.00;0.00;0.00;0.00;0.00;0.00;34669.14;340670.48;0.00
V; 0 t/m  4 jaar;GIESSENLANDEN;323;293.34;289158.55;31128.80;0.00;16506.86;7862.12;0.00;17171.57;33727.82;7491.22;7978.53;3955.35;198.12;2904.31;0.00;0.00;0.00;0.00;3048.58;9.00;0.00;0.00;20805.68
V; 5 t/m  9 jaar;GIESSENLANDEN;383;380.69;429310.06;26030.02;0.00;22361.00;8882.49;0.00;15147.16;12769.71;42416.01;9994.21;13095.52;1795.64;1381.20;0.00;0.00;0.00;0.00;214.65;5.40;0.00;0.00;844.65
V;10 t/m 14 jaar;GIESSENLANDEN;459;458.95;185320.28;17272.20;0.00;27007.25;9044.65;0.00;14625.80;29911.76;65928.23;9314.17;8515.35;0.00;3357.70;0.00;0.00;0.00;0.00;139.00;5.40;0.00;0.00;111.33
V;15 t/m 19 jaar;GIESSENLANDEN;479;477.18;378640.79;40679.46;8163.66;27980.75;16810.01;36.95;19138.75;23967.30;60138.97;16197.19;4686.54;1526.47;4940.88;0.00;204.74;11404.75;0.00;1348.70;7.20;0.00;9366.24;1618.82
V;20 t/m 24 jaar;GIESSENLANDEN;364;359.78;334748.26;114067.37;75140.42;20915.50;14093.60;194.11;16269.36;17689.98;3816.99;4997.24;662.07;2249.14;27881.39;20399.51;14487.38;12540.28;0.00;3192.51;1.80;0.00;28485.37;0.00
V;25 t/m 29 jaar;GIESSENLANDEN;313;309.04;256733.37;51531.95;54870.06;17950.75;13825.18;305.66;12006.25;10841.93;837.28;58.98;755.32;0.00;1990.80;75399.58;72737.96;14845.92;0.00;3901.34;7.20;0.00;12.38;729.78
V;30 t/m 34 jaar;GIESSENLANDEN;355;353.96;363949.20;44391.01;48167.50;20738.50;17298.65;457.75;15161.49;26154.78;600.97;1386.03;700.86;0.00;2804.31;112048.37;76444.94;12828.45;0.00;735.39;3.60;0.00;0.00;1.20
V;35 t/m 39 jaar;GIESSENLANDEN;393;389.24;424571.22;124487.86;53671.06;22744.50;17995.09;1535.37;15279.97;15374.99;433.86;5946.74;939.22;1019.31;11244.80;52410.85;23639.04;13380.08;0.00;1864.69;5.40;2774.32;584.64;17.43
V;40 t/m 44 jaar;GIESSENLANDEN;472;471.95;342308.26;88154.05;170686.75;27685.75;20382.21;3157.63;17337.07;15891.92;3791.76;5661.53;1351.28;345.80;8005.21;9271.83;4056.29;7822.86;0.00;729.54;3.60;0.00;36829.86;18.30
V;45 t/m 49 jaar;GIESSENLANDEN;596;596.00;420031.51;160158.53;65944.73;35075.50;27586.70;9030.28;22704.22;25113.53;2456.77;13841.43;1809.30;770.41;11059.99;0.00;0.00;12381.85;0.00;2813.02;0.00;0.00;4586.16;15.67
V;50 t/m 54 jaar;GIESSENLANDEN;557;555.17;490045.53;147754.10;34144.35;32523.75;22096.00;10781.76;21013.69;31626.51;5829.42;6748.03;3973.05;2585.99;7548.90;0.00;0.00;10299.50;0.00;377.17;12.60;6719.53;25231.13;75.07
V;55 t/m 59 jaar;GIESSENLANDEN;489;488.72;761557.92;132210.04;28288.07;28777.25;24679.14;17206.60;18848.67;37181.78;20284.29;10631.00;2275.62;3394.49;23762.83;0.00;0.00;7929.99;0.00;512.87;3.60;0.00;8345.06;350.00
V;60 t/m 64 jaar;GIESSENLANDEN;503;502.43;632730.51;198157.02;68554.06;29632.75;24200.14;36811.57;22881.00;74115.90;24291.77;16530.78;1488.09;1569.62;12126.84;0.00;0.00;1869.39;0.00;855.02;1.80;18424.06;57221.60;437.50
V;65 t/m 69 jaar;GIESSENLANDEN;522;519.54;1060451.70;248946.17;29425.21;43196.93;29345.01;45940.83;29063.40;107476.12;29554.99;23504.75;1904.33;10181.41;22198.87;0.00;0.00;3742.03;0.00;196.89;3.15;22995.02;98180.68;1538.97
V;70 t/m 74 jaar;GIESSENLANDEN;353;348.99;881586.83;179388.56;11329.75;29807.94;23241.03;35119.82;25485.56;77423.23;30536.56;12655.45;815.24;4897.45;23276.24;0.00;0.00;1704.59;0.00;293.65;1.80;17818.36;164598.77;4411.38
V;75 t/m 79 jaar;GIESSENLANDEN;233;228.01;664587.79;157708.99;31537.79;22868.17;18961.30;26764.46;16189.13;49410.28;14433.28;6517.81;506.78;21284.40;17463.96;0.00;0.00;0.00;0.00;975.40;1.80;58396.35;169161.38;820.00
V;80 t/m 84 jaar;GIESSENLANDEN;192;190.89;444586.98;138777.49;0.00;18981.44;18726.38;23182.00;12595.88;54801.26;5916.91;4913.28;758.06;0.00;18621.36;0.00;0.00;0.00;0.00;0.00;0.00;59291.71;293872.42;2258.90
V;85 t/m 89 jaar;GIESSENLANDEN;115;111.32;228160.54;78721.99;2142.89;10470.74;13157.72;12336.34;10745.12;36505.66;2457.55;672.16;751.31;0.00;10058.85;0.00;0.00;0.00;0.00;0.00;0.00;15800.25;392487.03;833.31
V;90+;GIESSENLANDEN;60;56.56;135054.99;42807.57;0.00;4848.52;8298.72;4118.34;5742.20;36517.11;1058.40;3286.45;15.26;562.37;8578.64;0.00;0.00;0.00;0.00;0.00;0.00;53455.08;389864.69;0.00
M; 0 t/m  4 jaar;GILZE EN RIJEN;617;563.13;977090.60;47029.65;0.00;31638.61;18306.57;36.44;36237.71;12712.97;16645.13;12675.71;22313.84;1552.16;2073.68;0.00;0.00;0.00;0.00;865.86;7.20;0.00;13774.28;35971.30
M; 5 t/m  9 jaar;GILZE EN RIJEN;744;740.96;276749.69;32941.35;0.00;43612.48;15600.04;27.60;21773.22;14635.24;90965.93;23706.34;47928.02;0.00;728.70;0.00;0.00;0.00;0.00;1071.60;9.00;0.00;14631.81;2995.64
M;10 t/m 14 jaar;GILZE EN RIJEN;786;778.79;273322.47;61366.71;0.00;45729.92;12941.47;52.61;14949.44;14705.96;104344.34;26506.67;19842.87;0.00;2178.48;0.00;0.00;0.00;0.00;2775.00;9.00;0.00;171.18;8720.67
M;15 t/m 19 jaar;GILZE EN RIJEN;845;839.85;316978.15;77344.02;170550.85;48896.25;14241.67;46.78;18402.86;30877.39;86237.55;30416.02;4350.55;0.00;11780.18;0.00;0.00;3215.01;0.00;3522.67;16.20;0.00;519.70;6314.04
M;20 t/m 24 jaar;GILZE EN RIJEN;721;708.57;261691.20;67366.49;267246.68;40762.45;12581.88;896.85;17588.18;12300.20;6696.74;11514.17;882.70;0.00;11466.77;0.00;0.00;5852.88;0.00;1713.94;12.60;0.00;4668.54;10487.20
M;25 t/m 29 jaar;GILZE EN RIJEN;641;635.58;197173.65;47766.81;55402.78;35686.81;11566.23;1810.82;14314.25;7514.04;3687.72;7693.21;808.44;0.00;11305.81;0.00;0.00;785.47;0.00;14124.10;10.80;0.00;9560.00;8731.33
M;30 t/m 34 jaar;GILZE EN RIJEN;665;659.93;288001.97;50632.45;94359.46;37507.62;12109.25;1458.01;14187.91;27725.66;4217.64;8936.15;493.00;3443.82;5167.39;0.00;0.00;1984.12;0.00;12558.12;9.00;0.00;31185.71;14273.37
M;35 t/m 39 jaar;GILZE EN RIJEN;707;700.46;467608.22;142033.43;106884.21;40259.31;15596.43;3549.79;15361.36;26513.11;3947.22;9094.72;1031.35;3261.54;10797.15;0.00;0.00;7848.98;0.00;3103.93;7.65;0.00;780.74;17714.69
M;40 t/m 44 jaar;GILZE EN RIJEN;848;839.40;571802.13;134627.45;118554.97;48586.50;18015.91;8873.72;20224.76;21011.59;5206.10;4630.08;1070.58;1313.50;17375.44;0.00;0.00;4196.86;0.00;1136.19;3.60;0.00;3531.12;12178.24
M;45 t/m 49 jaar;GILZE EN RIJEN;989;985.58;698178.15;204225.47;176684.26;57305.39;27004.44;18807.44;21056.91;44607.93;13085.85;16225.19;4830.86;7650.34;25675.90;0.00;0.00;7504.05;0.00;23212.18;12.60;0.00;7908.21;26282.88
M;50 t/m 54 jaar;GILZE EN RIJEN;1013;1006.21;1291101.69;214579.98;35784.67;58395.25;27031.68;24163.32;21512.50;74506.13;32075.64;9188.69;4866.26;4229.05;25603.51;0.00;0.00;1757.25;0.00;12682.70;12.15;70360.98;7933.50;12875.48
